url,query,annotation
data/quic360/downtest/images/42356836282_321259f898_o.jpg,furniture,There is one wooden rectangular bench that is up some stairs with a view of trees and cherry blossoms. There is also an attached roof to this bench.
data/quic360/downtest/images/42356836282_321259f898_o.jpg,furniture,There is rectangle wooden bench for sitting in the middle of rest area
data/quic360/downtest/images/42356836282_321259f898_o.jpg,furniture,There is a wide wooden bench underneath of a roof like pavilion. There are no walls it is standing on four posts. One post on each corner.
data/quic360/downtest/images/42356836282_321259f898_o.jpg,furniture,A wooden bench is in the middle of this garden landscape.
data/quic360/downtest/images/42356836282_321259f898_o.jpg,furniture,There is a small bench and table placed under the small wooden hut.
data/quic360/downtest/images/2094501355_045ede6d89_k.jpg,interior,The interior portion of the building is arranged by the wooden cupboards and wooden furniture. the floor is designed in red color
data/quic360/downtest/images/2094501355_045ede6d89_k.jpg,interior,"This is in the middle of a reception hall, to one side there is a grand spiral staircase and the entrance to the area, to the other side there is a bar area."
data/quic360/downtest/images/2094501355_045ede6d89_k.jpg,interior,Several crystal chandeliers line the ceiling above a red carpeted hallway in front of large wood double doors.
data/quic360/downtest/images/2094501355_045ede6d89_k.jpg,interior,The interior is very bright with chandeliers illuminating the room and a red carpet setting a fancy tone
data/quic360/downtest/images/2094501355_045ede6d89_k.jpg,interior,Read carpeting with tall tables but no chairs. The place is luxurious very stylish. There is a golden Color staircase that spirals off in the distance there are maroon cushioned benches along the wall.
data/quic360/downtest/images/26286679561_2bc4360f7d_f.jpg,interior,The inside of a church with stained glass windows and a church organ.
data/quic360/downtest/images/26286679561_2bc4360f7d_f.jpg,interior,The inside of the building has a lot of wooden furniture and a pipe organ.
data/quic360/downtest/images/26286679561_2bc4360f7d_f.jpg,interior,"Inside a very ornamental church with gothic archways, stainedglass windows and checkered floors."
data/quic360/downtest/images/26286679561_2bc4360f7d_f.jpg,interior,wow it  was a amazing interior works. like a palace very nice place
data/quic360/downtest/images/26286679561_2bc4360f7d_f.jpg,interior,This is the inside of a Catholic church with bright ceramic art depicting biblical stories on the walls.
data/quic360/downtest/images/451311988_12a529ce57_k.jpg,furniture,The inside has small tables and a book shelf made out of books.
data/quic360/downtest/images/451311988_12a529ce57_k.jpg,furniture,there are stools and installation of art pieces so some cabinets in bright colors
data/quic360/downtest/images/451311988_12a529ce57_k.jpg,furniture,There is a black shelving unit in on the wall.  It is very tall and only has a shelf at the top and bottom.
data/quic360/downtest/images/451311988_12a529ce57_k.jpg,furniture,A bookcase that has no back. It is Full of books and aligning with the outer wall that is a large window.
